artist_id,tag_id,tag_name,avg_score,avg_fav_count,target_post_count,total_post_count,target_ratio
199127,1556845,bartolomeobari,591.2155172413793103,664.4310344827586207,116,144,0.8055555555555556
117227,1307386,asou_(asabu202),405.2857142857142857,476.4714285714285714,70,209,0.3349282296650718
25424,534280,mignon,329.016260162601626,426.8130081300813008,123,632,0.19462025316455697
191191,1543884,nyantcha,310.0622895622895623,361.7609427609427609,594,1656,0.358695652173913
248022,1692689,inukai_mofu,300.6923076923076923,293.1346153846153846,52,112,0.4642857142857143
139159,1609971,re:shimashima,297.4623655913978495,319.5268817204301075,93,424,0.21933962264150944
218915,1612218,shironekokfp,296.9130434782608696,285.7391304347826087,23,143,0.16083916083916083
68126,1727201,misaka_12003-gou,293.5319148936170213,341.7163120567375887,141,322,0.43788819875776397
204503,1572829,shexyo,285.5522388059701493,297.4029850746268657,67,510,0.13137254901960785
276915,1884975,gusha_s,284.7323943661971831,275.5211267605633803,71,118,0.6016949152542372
189147,1530166,hot_vr,284.639344262295082,280.4808743169398907,183,505,0.36237623762376237
96851,1551655,kairunoburogu,281.7695167286245353,358.8810408921933086,269,735,0.3659863945578231
163384,1574421,monobe_yuri,280.0033444816053512,305.157190635451505,299,422,0.7085308056872038
190153,1532990,paloma_piquet,279.9384615384615385,322.1769230769230769,130,205,0.6341463414634146
265292,1733509,jornyhail,279.4318181818181818,273.0454545454545455,44,144,0.3055555555555556
197409,1552208,akusema,274.4838709677419355,378.032258064516129,31,273,0.11355311355311355
263247,1728895,greatodoggo,269.9294117647058824,260.2,85,277,0.30685920577617326
175317,1491419,kumasteam,268.0934579439252336,337.0186915887850467,107,173,0.6184971098265896
190623,1534342,mochirong,263.5542168674698795,283.2891566265060241,83,420,0.1976190476190476
247142,2021239,choujiroo,261.6153846153846154,254.2692307692307692,26,146,0.1780821917808219
205360,1600632,soso_(chlgksk110),260.8214285714285714,363.9880952380952381,84,156,0.5384615384615384
107679,1273889,waterring,257.0564784053156146,271.840531561461794,301,559,0.5384615384615384
212255,1655526,merrytail,256.6275862068965517,251.9931034482758621,145,209,0.69377990430622
215463,1603105,pantheon_eve,246.9387755102040816,260.5102040816326531,49,133,0.3684210526315789
195783,1548030,u_ronnta,246.1333333333333333,276.3666666666666667,30,167,0.17964071856287425
371607,1466983,suoiresnu,245.7254901960784314,281.6568627450980392,102,255,0.4
194056,1553387,asura_(asurauser),242.8588235294117647,266.5294117647058824,85,252,0.3373015873015873
109553,1566000,da_mao_banlangen,240.0919540229885057,318.896551724137931,87,150,0.58
257458,1715422,yuyu5x,238.6862745098039216,227.3137254901960784,51,121,0.4214876033057851
332546,1884139,redi_(rasec_asdjh),236.8333333333333333,229.7777777777777778,18,157,0.11464968152866242
214072,1599260,l_ract,236.7222222222222222,259.1666666666666667,36,151,0.23841059602649006
202499,1577410,sabamori,234.6153846153846154,227.5,26,162,0.16049382716049382
187313,1600725,ariso_kaoru,234.3170731707317073,239.6829268292682927,41,133,0.3082706766917293
268053,1752380,diforland,232.5357142857142857,225.2857142857142857,28,127,0.2204724409448819
74908,694729,ricegnat,231.9095477386934673,362.5125628140703518,199,514,0.38715953307393
169659,1476290,misekai_555,229.1223021582733813,308.1151079136690647,139,379,0.36675461741424803
208645,1583299,okpriko,228.1428571428571429,230.9761904761904762,42,265,0.15849056603773584
115305,1300033,gin00,227.7681159420289855,241,69,413,0.16707021791767554
7244,907904,takemura_sessyu,226.8308823529411765,282.1544117647058824,136,248,0.5483870967741935
19186,626940,sage_joh,226.0784313725490196,250.803921568627451,51,326,0.15644171779141106
4302,1266395,kaede_(sayappa),225.8888888888888889,335.7777777777777778,81,227,0.3568281938325991
201551,1635073,beeeeen,225.8588235294117647,226.8588235294117647,85,282,0.30141843971631205
218634,1611538,turbulence,225.0555555555555556,218.1666666666666667,18,164,0.10975609756097561
265824,1734874,uechin_ewokaku,224.44,213.08,25,143,0.17482517482517482
198971,1556432,simao_(x_x36131422),222.4779411764705882,291.3308823529411765,136,334,0.40718562874251496
287470,1789979,sleepypudding,222.4285714285714286,214.2142857142857143,28,110,0.2545454545454545
169482,1475877,mdf_an,220.6326530612244898,273.7006802721088435,147,497,0.29577464788732394
208484,1582851,pepper0,218.8857142857142857,316.6428571428571429,70,287,0.24390243902439024
262670,2018960,muke_(fz064),216.2522522522522523,210.5855855855855856,111,156,0.7115384615384616
229662,1644886,brikot,216.0786516853932584,218.6853932584269663,89,121,0.7355371900826446
142920,1391175,niliu_chahui,215.8024263431542461,236.5996533795493934,577,945,0.6105820105820106
153622,1949715,sleepy_frippy,214.9375,206.5625,32,133,0.24060150375939848
212987,1595932,the_atko,213.7901234567901235,218.4320987654320988,81,174,0.46551724137931033
186632,1522642,mamimi_(mamamimi),213.4533333333333333,231.12,75,318,0.2358490566037736
166280,1782873,valtor,213.1870503597122302,280.8848920863309353,278,456,0.6096491228070176
29378,485751,nanaichi,210.4651162790697674,207.7674418604651163,43,124,0.3467741935483871
222235,1622546,pinki_o64,210.3571428571428571,205,14,112,0.125
198726,1575666,squeezable_(artist),209.4137931034482759,260.6982758620689655,116,396,0.29292929292929293
123572,1441298,jp06,208.2564102564102564,280,39,311,0.12540192926045016
94112,1585726,machi_(7769),208.2142857142857143,201.1785714285714286,28,273,0.10256410256410256
78366,1580280,takurowo,208.1914893617021277,227.148936170212766,47,162,0.29012345679012347
219960,1616450,sp123,207.3333333333333333,222.0833333333333333,24,129,0.18604651162790697
189195,1639466,ie_(raarami),207.1649484536082474,267.8144329896907216,97,181,0.5359116022099447
118364,1428168,sonri,207.0869565217391304,207.0434782608695652,69,145,0.47586206896551725
134414,1365870,sohn_woohyoung,206.5285714285714286,269.5714285714285714,70,181,0.3867403314917127
65048,620111,masami_chie,206.3898305084745763,282.0508474576271186,59,519,0.11368015414258188
115562,1300751,tarakanovich,205.3522727272727273,307.2613636363636364,176,418,0.42105263157894735
169212,1475383,sanuki_(kyoudashya),204.1485148514851485,288.2277227722772277,101,179,0.5642458100558659
183956,1514664,omone_hokoma_agm,202.1397849462365591,247.5376344086021505,93,581,0.16006884681583478
187132,1524054,z.taiga,201.8372093023255814,216.8883720930232558,215,385,0.5584415584415584
295680,1808827,gsusart,201.0840336134453782,193.7983193277310924,119,345,0.34492753623188405
179548,1562812,yamiiv,200.8666666666666667,268.6666666666666667,15,122,0.12295081967213115
66517,1564330,denhijou_niki,199.9111111111111111,217.4333333333333333,90,160,0.5625
147679,1405425,komainu_(yamaha1997),199.8888888888888889,201,18,110,0.16363636363636364
294170,1805133,ayomo_ro,199.6388888888888889,194.2777777777777778,36,117,0.3076923076923077
305504,1607376,zynxy,199.5957446808510638,214.5106382978723404,47,128,0.3671875
77256,1433059,ipuu_(el-ane_koubou),198.6554054054054054,268.0337837837837838,148,308,0.4805194805194805
249723,1697175,mochitsuki_karen,198.4509803921568627,190.8627450980392157,51,157,0.3248407643312102
235669,1714753,zero_a,198.3209876543209877,201.1111111111111111,81,114,0.7105263157894737
49812,1762579,puuzaki_puuna,197.5824175824175824,286.9615384615384615,182,480,0.37916666666666665
129353,1767514,hiyashi_mirano,196,197.5,20,102,0.19607843137254902
61773,1451923,sawada_yuusuke,195.8636363636363636,220.0454545454545455,66,230,0.28695652173913044
156300,1434363,lun7732,195.7857142857142857,270.7857142857142857,14,107,0.1308411214953271
254406,1688623,fluffydango,195.2550335570469799,188.5100671140939597,149,275,0.5418181818181819
181501,1508191,vierzeck,194.619047619047619,224.0714285714285714,42,170,0.24705882352941178
36778,1599658,hu_dako,194.5789473684210526,236.9157894736842105,95,411,0.23114355231143552
153301,1365443,afrobull,194.5459317585301837,247.0183727034120735,381,1144,0.333041958041958
165145,1463932,roropull,194.2580645161290323,242.4435483870967742,248,487,0.5092402464065708
219323,1507661,greatm8,193.4740740740740741,191.0851851851851852,270,456,0.5921052631578947
159992,1448706,kataokasan,193.4186046511627907,192.0348837209302326,86,192,0.4479166666666667
200366,1560649,classic_(zildjian33),192.55,184.5,20,173,0.11560693641618497
22424,458002,kyokucho,192.4625,269.4625,80,283,0.2826855123674912
184870,1517165,unfairr,192.0780669144981413,209.5446096654275093,538,701,0.7674750356633381
161579,1467505,ia_(ias1010),191.4651162790697674,224.5581395348837209,43,274,0.15693430656934307
121733,1441922,greem_bang,191.3236842105263158,223.9447368421052632,380,752,0.5053191489361702
96999,1579685,yuyu_(yuyuworks),191.2459016393442623,199.0327868852459016,61,208,0.2932692307692308
166291,1467563,sunhyun,191.0206896551724138,205.2344827586206897,145,625,0.232
181189,1507212,eonsang,191.0088495575221239,214.5221238938053097,113,431,0.26218097447795824
216226,1605244,kuroi_suna,190.7631578947368421,193.2807017543859649,114,310,0.36774193548387096
