artist_id,tag_id,tag_name,target_post_count,total_post_count,avg_score,avg_fav_count,ratio
89415,721672,tsubasa_tsubasa,307,372,59.3159609120521173,73.5765472312703583,0.8252688172043011
32471,499352,fukusuke_hachi-gou,80,101,6.1625,7.425,0.7920792079207921
83808,1303017,gurande_(g-size),692,885,26.4335260115606936,36.7124277456647399,0.7819209039548023
92725,1349654,yomu_(sgt_epper),683,1010,71.1654465592972182,108.1273792093704246,0.6762376237623763
135642,1370119,kudou_(ooabareteng),131,197,13.3435114503816794,13.549618320610687,0.6649746192893401
6929,385159,tajima_yuuki,180,279,29.9222222222222222,60.1277777777777778,0.6451612903225806
92271,1349653,kyuuso_inukami,191,297,45.7696335078534031,65.5445026178010471,0.6430976430976431
202232,1788127,pupi_(rain_prophet),109,171,69.1926605504587156,76.4495412844036697,0.6374269005847953
185585,1572036,hong_bai,144,236,104.0625,123.6736111111111111,0.6101694915254238
215232,1602384,z282g,145,238,167.5793103448275862,188.6275862068965517,0.6092436974789915
148762,1420864,kita_(7kita),68,115,4.4705882352941176,4.2647058823529412,0.591304347826087
194654,1649470,hama!_(3toshinhmkz),169,286,5.8343195266272189,4.7751479289940828,0.5909090909090909
188826,1572415,white_ph,115,202,21.5565217391304348,25.5652173913043478,0.5693069306930693
117021,1589313,himitsu_(hi_mi_tsu_2),234,417,117.405982905982906,192.3803418803418803,0.5611510791366906
139671,1383888,mechrailgun,74,135,20.0135135135135135,22.9189189189189189,0.5481481481481482
156291,1592144,bigxixi,55,101,87.4363636363636364,119.7090909090909091,0.5445544554455446
65089,608959,eluthel,88,162,37.8863636363636364,44.0909090909090909,0.5432098765432098
159992,1448706,kataokasan,104,192,109.375,115.5865384615384615,0.5416666666666666
29968,847967,retsumaru,96,181,14.2916666666666667,17.0729166666666667,0.5303867403314917
192591,1719798,icecake,94,181,68.1276595744680851,83.0106382978723404,0.5193370165745856
267307,1750630,mutugorou_u,54,105,30.2592592592592593,29.0555555555555556,0.5142857142857142
20351,376050,garnet,65,128,11.8615384615384615,14.6153846153846154,0.5078125
65989,1263268,ririko_(zhuoyandesailaer),528,1057,37.0189393939393939,48.5814393939393939,0.49952696310312206
108942,1278103,terebi_(shimizu1996),103,209,87.883495145631068,112.116504854368932,0.49282296650717705
186660,1614063,hyouuma,145,297,126.7931034482758621,160.2344827586206897,0.4882154882154882
4870,377608,mibu_natsuki,162,332,51.0802469135802469,74.8333333333333333,0.4879518072289157
163326,1459125,shii_(kairi-t-k0317),55,113,12.4545454545454545,15.6363636363636364,0.48672566371681414
206976,1578949,amahara_subaru,136,284,33.3161764705882353,35.3529411764705882,0.4788732394366197
139497,1383400,cang_se_ye_hua,57,120,47.8771929824561404,65.8421052631578947,0.475
234200,1656045,yuno385,75,158,10.48,9.1866666666666667,0.47468354430379744
122330,1326315,chen_bin,101,213,67.1386138613861386,80.7623762376237624,0.47417840375586856
124491,1334305,dk.senie,147,312,44.727891156462585,76.619047619047619,0.47115384615384615
198431,1554918,wu_ganlan_cai,94,204,78.074468085106383,102.3404255319148936,0.46078431372549017
114777,1298360,minagiku,72,157,23.8472222222222222,29.1805555555555556,0.4585987261146497
44674,510119,ken_(koala),113,251,10.4424778761061947,17.5044247787610619,0.450199203187251
72392,649221,yuzuyomogi,70,158,7.2,8.4714285714285714,0.4430379746835443
138072,1378707,sainohikari,84,191,12.4166666666666667,18.4642857142857143,0.4397905759162304
60943,1425569,tadano_magu,142,323,10.7676056338028169,12.7605633802816901,0.43962848297213625
60294,662667,damegane,99,227,32.8282828282828283,67.8383838383838384,0.43612334801762115
101763,1254457,terakoya,141,327,33.0921985815602837,59.0709219858156028,0.43119266055045874
157331,1428930,karv,47,109,17.8936170212765957,19.2340425531914894,0.43119266055045874
39925,478138,kishiyo,165,383,21.8909090909090909,41.8787878787878788,0.4308093994778068
6892,767406,oouso,409,952,40.2665036674816626,52.3569682151589242,0.42962184873949577
48057,1590807,tukino_neru,89,210,7.4606741573033708,9.4044943820224719,0.4238095238095238
8641,392472,katahira_masashi,158,373,15.5506329113924051,20.6329113924050633,0.42359249329758714
104360,1379332,ddt_(darktrident),46,111,26,37.2826086956521739,0.4144144144144144
156516,1414364,yurichtofen,78,194,23.141025641025641,41.8205128205128205,0.4020618556701031
7507,387217,kobayashi_chisato,228,573,44.043859649122807,62.5307017543859649,0.39790575916230364
159326,1446217,namiki_(remiter00),101,256,25.2574257425742574,29.3465346534653465,0.39453125
31402,485154,udukikosuke,97,248,15.9587628865979381,17,0.3911290322580645
202667,1681885,nitamako_(sakamalh),170,435,23.0058823529411765,24.8588235294117647,0.39080459770114945
207107,1579285,nagata_gata,68,174,81.6323529411764706,85.4264705882352941,0.39080459770114945
25587,1595966,kamisimo_90,168,437,26.5476190476190476,36.75,0.38443935926773454
210698,1589282,aramaru,78,204,15.0897435897435897,14.7948717948717949,0.38235294117647056
71019,643865,uona_telepin,99,259,18.101010101010101,24.8282828282828283,0.38223938223938225
129782,1428023,rangen,63,165,36.126984126984127,56.4603174603174603,0.38181818181818183
228129,1641108,hagi_(ame_hagi),71,186,91.1971830985915493,94.8450704225352113,0.3817204301075269
223851,1627887,bobobong,48,126,63.7083333333333333,79.875,0.38095238095238093
108929,1278083,sunga2usagi,75,197,32.7866666666666667,42.9866666666666667,0.38071065989847713
229283,1643907,iganashi1,66,174,22.2575757575757576,19.8939393939393939,0.3793103448275862
125784,1585116,iro_ame_(amewaagada),75,198,35.7066666666666667,61.68,0.3787878787878788
