artist_id,tag_id,tag_name,target_post_count,total_post_count,avg_score,avg_fav_count,ratio
132723,1315269,d-rex,171,450,73.4152046783625731,99.8304093567251462,0.38
228533,1642073,honon,48,132,178.8125,172.25,0.36363636363636365
167187,1470222,gaothun,83,229,63.5903614457831325,74.8072289156626506,0.3624454148471616
158907,1444643,donedone,61,171,225.4918032786885246,407.3770491803278689,0.3567251461988304
116385,1304478,yakou_(4507770),45,127,44.4222222222222222,95.7111111111111111,0.3543307086614173
212987,1595932,the_atko,61,174,244.3114754098360656,248.819672131147541,0.3505747126436782
219323,1507661,greatm8,159,456,202.3018867924528302,200.0251572327044025,0.34868421052631576
204126,1571586,boppin,70,202,51.0142857142857143,50.7857142857142857,0.3465346534653465
117896,546577,john_doe,228,661,74.9824561403508772,102.0657894736842105,0.34493192133131617
120345,1318304,bbc-chan,132,391,150.8409090909090909,250.75,0.3375959079283887
197948,1553556,kionant,114,341,80.0789473684210526,81.7105263157894737,0.3343108504398827
66075,624666,janong,167,511,93.1616766467065868,194.4610778443113772,0.3268101761252446
165818,1465879,futomomomoe,42,130,119.119047619047619,244.619047619047619,0.3230769230769231
117510,1247809,evulchibi,47,146,109.1914893617021277,128.7659574468085106,0.3219178082191781
188228,1527669,norza,109,341,181.2018348623853211,195.963302752293578,0.3196480938416422
115562,1300751,tarakanovich,133,418,216.1578947368421053,325.112781954887218,0.3181818181818182
157465,1573160,joosi,54,170,125.7962962962962963,176.2777777777777778,0.3176470588235294
143386,1392668,menoziriath,33,104,167.6060606060606061,228.7272727272727273,0.3173076923076923
245276,1457409,rat_huang,57,181,160.7192982456140351,163.8421052631578947,0.3149171270718232
165145,1463932,roropull,151,487,237.4172185430463576,283.4370860927152318,0.31006160164271046
323506,1862049,puchirisu,35,114,38.7142857142857143,37.4857142857142857,0.30701754385964913
131027,1331180,yellowroom,61,200,184.0491803278688525,292.7377049180327869,0.305
88317,1646722,x-t3al,81,268,99.1728395061728395,181.5679012345679012,0.30223880597014924
102299,1256572,izra,34,115,62.8823529411764706,95.4705882352941176,0.2956521739130435
261450,1724046,mixplin,55,187,127.4,123.3454545454545455,0.29411764705882354
116132,1303543,wanaca,43,147,83.8837209302325581,132.3255813953488372,0.2925170068027211
257458,1715422,yuyu5x,35,121,257.4857142857142857,245.2285714285714286,0.2892561983471074
190107,1532817,kuroshiro00,36,127,104.6111111111111111,101.1388888888888889,0.28346456692913385
158913,1444677,sorapoi,81,288,151.6049382716049383,154.5679012345679012,0.28125
153301,1365443,afrobull,321,1144,200.0809968847352025,252.8940809968847352,0.28059440559440557
371607,1466983,suoiresnu,71,255,285.2957746478873239,323.9859154929577465,0.2784313725490196
134061,1364842,ale_(ale_halexxx),49,176,199.2653061224489796,248.4489795918367347,0.2784090909090909
82799,692790,lm_(legoman),47,170,48.3404255319148936,83.574468085106383,0.27647058823529413
151675,1418660,john_zhang,48,175,118.875,119.1041666666666667,0.2742857142857143
92580,1785483,elleciel.eud,54,199,143.0925925925925926,205.537037037037037,0.271356783919598
23847,462983,nada_haruka,56,207,64.5535714285714286,85.8571428571428571,0.27053140096618356
74908,694729,ricegnat,139,514,254.0935251798561151,402.3309352517985612,0.2704280155642023
32809,627862,j7w,118,444,22.9406779661016949,22.3389830508474576,0.26576576576576577
96851,1551655,kairunoburogu,194,735,317.6288659793814433,399.2319587628865979,0.2639455782312925
194056,1553387,asura_(asurauser),66,252,258.1060606060606061,280.8787878787878788,0.2619047619047619
158663,1443678,pumpkinspicelatte,86,329,176.5,176.1744186046511628,0.2613981762917933
234562,1656691,loodncrood,47,185,156.6382978723404255,151.2978723404255319,0.25405405405405407
95622,1227391,kenshin187,148,586,174.6554054054054054,260.9594594594594595,0.2525597269624573
95681,1888476,pltnm_ghost,27,107,14.5555555555555556,29.4814814814814815,0.2523364485981308
102312,1079905,brekkist,39,156,119.6666666666666667,199.7179487179487179,0.25
236945,1662774,myth1carts,86,345,125.2209302325581395,121.1627906976744186,0.2492753623188406
191191,1543884,nyantcha,410,1656,338.0780487804878049,394.8097560975609756,0.24758454106280192
197367,1551980,kasseus_maximus,25,101,180.32,211.36,0.24752475247524752
101902,884665,norasuko,115,467,96.0956521739130435,148.5826086956521739,0.2462526766595289
127838,1467566,alpha_(alpha91),44,181,140,191.2045454545454545,0.2430939226519337
189147,1530166,hot_vr,122,505,329.8524590163934426,321.5737704918032787,0.24158415841584158
298274,1814763,roxxxan,51,213,59.6862745098039216,56.1568627450980392,0.23943661971830985
100638,1250144,andava,38,159,42.1315789473684211,56.1315789473684211,0.2389937106918239
161455,1411301,merunyaa,352,1476,123.65625,153.9517045454545455,0.23848238482384823
100682,2001115,ponpu_(pumpkinsinclair),70,294,32.0571428571428571,39.1,0.23809523809523808
157650,1403865,zinfyu,35,149,33.8857142857142857,31.9142857142857143,0.2348993288590604
132192,1614781,spicy_bardo,26,112,83.1538461538461538,132.1923076923076923,0.23214285714285715
