artist_id,tag_id,tag_name,avg_score,avg_fav_count,target_post_count,total_post_count,target_ratio
158907,1444643,donedone,188.891304347826087,341.0869565217391304,46,171,0.26900584795321636
83658,696105,aki99,87.3563829787234043,103.2021276595744681,188,788,0.23857868020304568
115735,1301649,vahn_yourdoom,57.7159090909090909,69.8409090909090909,176,761,0.23127463863337713
135116,1368262,toketou,73.5909090909090909,101.9545454545454545,22,108,0.2037037037037037
56456,588710,bulbonne,78.3870967741935484,109.1290322580645161,31,153,0.20261437908496732
190631,1875854,cedar_(cedar_japonica),69.5211267605633803,72.8309859154929577,71,360,0.19722222222222222
289938,1796021,zhazhapao,147.8571428571428571,143.4285714285714286,28,143,0.1958041958041958
30943,1332011,akira_(coffee_curry),79.813953488372093,130.6744186046511628,43,233,0.18454935622317598
170658,1611643,yoru_(yowuyoru),51.8695652173913043,91.5652173913043478,23,125,0.184
199523,1557836,mankai_kaika,98.8888888888888889,168.9444444444444444,18,104,0.17307692307692307
18217,440048,ukokkei,89.6428571428571429,91.3095238095238095,42,244,0.1721311475409836
239155,1670042,yutian_alice,126.8181818181818182,128.2272727272727273,22,129,0.17054263565891473
66086,1433147,morino_donguri,30.8245614035087719,40.3859649122807018,57,336,0.16964285714285715
89665,720936,uhyoko,51.5172413793103448,56.5172413793103448,29,171,0.1695906432748538
22420,1031152,tsudero,65.3333333333333333,72.3333333333333333,24,143,0.16783216783216784
137758,1377490,yas_(35373),48.15,59.75,20,120,0.16666666666666666
162363,1424995,pochincoff,38.1724137931034483,37.7672413793103448,116,710,0.16338028169014085
66517,1564330,denhijou_niki,183.5769230769230769,212.2692307692307692,26,160,0.1625
92389,1141148,lucknight,72.1777777777777778,127.8888888888888889,45,283,0.15901060070671377
142920,1391175,niliu_chahui,245.7054794520547945,274.3904109589041096,146,945,0.1544973544973545
163384,1574421,monobe_yuri,307.09375,323.09375,64,422,0.15165876777251186
176109,1357848,twistedscarlett60,149.92,177.52,25,167,0.1497005988023952
212255,1655526,merrytail,306.7096774193548387,294.5483870967741935,31,209,0.14832535885167464
29559,425491,hormone_koijirou,84.9310344827586207,136.7931034482758621,29,196,0.14795918367346939
108953,1932500,torii_yoshitsuna,86,123.7222222222222222,18,122,0.14754098360655737
181673,1508644,rensyu,90.7941176470588235,93.4117647058823529,34,235,0.14468085106382977
262413,1726959,makino_harumaki,52.7058823529411765,50.7058823529411765,17,120,0.14166666666666666
179481,1502619,nc731,53.8695652173913043,63.4782608695652174,23,163,0.1411042944785276
98604,715577,animeflux,197.1428571428571429,320.7619047619047619,21,150,0.14
124421,1334035,abmayo,111.1491228070175439,132.6403508771929825,114,841,0.13555291319857313
6015,383203,fakepucco,41.4444444444444444,85.5,18,135,0.13333333333333333
66075,624666,janong,100.4029850746268657,186.8805970149253731,67,511,0.13111545988258316
10736,380756,speh,104.6363636363636364,195.1363636363636364,22,171,0.1286549707602339
116495,1304750,freedom_nakai,96.8260869565217391,135.391304347826087,23,180,0.12777777777777777
39121,437529,ren_san,63.5555555555555556,107.3888888888888889,18,142,0.1267605633802817
164950,1463509,ateoyh,95.4545454545454545,134.4545454545454545,33,262,0.12595419847328243
208432,1582676,so_dasui1,94.1538461538461538,91.8461538461538462,13,104,0.125
52001,569113,shikuta_maru,82.5333333333333333,116.0666666666666667,15,123,0.12195121951219512
109701,1280461,shungikuten,47.6956521739130435,78.9565217391304348,23,189,0.12169312169312169
196695,1587634,ruberule,164.8461538461538462,186.9230769230769231,13,108,0.12037037037037036
109553,1566000,da_mao_banlangen,210,350.0555555555555556,18,150,0.12
184641,1719795,ririko_(fhnngririko),177.9285714285714286,187.2857142857142857,14,117,0.11965811965811966
4664,378118,kaneru,52.0833333333333333,78.5833333333333333,12,101,0.1188118811881188
224915,1632550,camonome,208.4102564102564103,223.9615384615384615,78,670,0.11641791044776119
29014,1246656,hou_(hachiyou),54.4166666666666667,73.3333333333333333,12,104,0.11538461538461539
8251,390676,kurona,38.0454545454545455,41.5454545454545455,22,191,0.11518324607329843
79818,1350736,lolo_(kemonono),61.9166666666666667,60.9166666666666667,12,105,0.11428571428571428
202659,1567007,yotubeya,62.0666666666666667,60.2,15,132,0.11363636363636363
248556,1694058,iumu,223.3333333333333333,218.8333333333333333,12,106,0.11320754716981132
139728,1383951,utatanecocoa,72.6428571428571429,69.4285714285714286,14,124,0.11290322580645161
72153,1332542,dikko,142.4742268041237113,157.7731958762886598,97,882,0.10997732426303855
219323,1507661,greatm8,196.02,189.62,50,456,0.10964912280701754
225551,1633947,iranon_(new_iranon),97.6923076923076923,94.7692307692307692,13,121,0.10743801652892562
23463,432531,toritora,65.7931034482758621,74.0689655172413793,29,272,0.10661764705882353
207732,1580856,higeepon,64.2307692307692308,62.7692307692307692,13,122,0.10655737704918032
88134,716353,noise_tanker,50.2142857142857143,80.2142857142857143,14,132,0.10606060606060606
209257,1584970,ichi-go,126.4444444444444444,141.4814814814814815,27,263,0.10266159695817491
112642,1291065,shirouzu_myuuta,49.25,82.4166666666666667,12,119,0.10084033613445378
161105,1654896,jc_shikikan,139.3076923076923077,174.1538461538461538,13,129,0.10077519379844961
169212,1475383,sanuki_(kyoudashya),294.6666666666666667,485.6111111111111111,18,179,0.1005586592178771
