artist_id,tag_id,tag_name,total_post_count,target_post_count,avg_score,avg_fav_count
262670,2018960,muke_(fz064),156,111,216.2522522522522523,210.5855855855855856
229662,1644886,brikot,121,89,216.0786516853932584,218.6853932584269663
142920,1391175,niliu_chahui,945,577,215.8024263431542461,236.5996533795493934
200911,1622043,sooon,475,22,215.5909090909090909,207.4090909090909091
153622,1949715,sleepy_frippy,133,32,214.9375,206.5625
177581,1572611,solar_(happymonk),315,22,214.4545454545454545,254.8181818181818182
212987,1595932,the_atko,174,81,213.7901234567901235,218.4320987654320988
186632,1522642,mamimi_(mamamimi),318,75,213.4533333333333333,231.12
166280,1782873,valtor,456,278,213.1870503597122302,280.8848920863309353
148218,1575786,ayul_(ayulneri_92),255,3,213,377
103275,1285688,kuma_(bloodycolor),149,3,212.3333333333333333,343
166556,1468636,erospanda,110,1,212,366
174353,1599892,nonbire,241,3,212,205
198239,1554388,noumu_(pixiv),132,9,211.8888888888888889,206.8888888888888889
203393,1569131,zefrableu,191,17,211.4705882352941176,347.4705882352941176
14435,699721,shirabi,614,1,211,208
29378,485751,nanaichi,124,43,210.4651162790697674,207.7674418604651163
222235,1622546,pinki_o64,112,14,210.3571428571428571,205
198726,1575666,squeezable_(artist),396,116,209.4137931034482759,260.6982758620689655
151899,817558,dross,230,2,209,346
123572,1441298,jp06,311,39,208.2564102564102564,280
94112,1585726,machi_(7769),273,28,208.2142857142857143,201.1785714285714286
78366,1580280,takurowo,162,47,208.1914893617021277,227.148936170212766
161256,1453440,cheshirrr,215,2,207.5,231.5
219960,1616450,sp123,129,24,207.3333333333333333,222.0833333333333333
187657,1525597,yukiaka,107,4,207.25,246
189195,1639466,ie_(raarami),181,97,207.1649484536082474,267.8144329896907216
118364,1428168,sonri,145,69,207.0869565217391304,207.0434782608695652
215297,1602558,signalviolet,211,12,206.5833333333333333,262.5833333333333333
134414,1365870,sohn_woohyoung,181,70,206.5285714285714286,269.5714285714285714
65048,620111,masami_chie,519,59,206.3898305084745763,282.0508474576271186
115562,1300751,tarakanovich,418,176,205.3522727272727273,307.2613636363636364
169212,1475383,sanuki_(kyoudashya),179,101,204.1485148514851485,288.2277227722772277
225058,1632848,rikuguma,207,19,204.1052631578947368,204.1578947368421053
186096,1521123,pottsness,503,43,203.0697674418604651,205.1162790697674419
44709,520372,sakamuke,121,5,202.8,197
11268,1034385,cuboon,610,4,202.25,194.75
217576,1608896,rome_romedo,147,4,202.25,244.25
183956,1514664,omone_hokoma_agm,581,93,202.1397849462365591,247.5376344086021505
187132,1524054,z.taiga,385,215,201.8372093023255814,216.8883720930232558
295680,1808827,gsusart,345,119,201.0840336134453782,193.7983193277310924
179548,1562812,yamiiv,122,15,200.8666666666666667,268.6666666666666667
11752,534534,kasai_shin,228,1,200,195
90756,1428406,arqa,105,1,200,372
223219,1368648,ratatatat74,355,25,199.96,312.4
66517,1564330,denhijou_niki,160,90,199.9111111111111111,217.4333333333333333
147679,1405425,komainu_(yamaha1997),110,18,199.8888888888888889,201
294170,1805133,ayomo_ro,117,36,199.6388888888888889,194.2777777777777778
305504,1607376,zynxy,128,47,199.5957446808510638,214.5106382978723404
216274,1632600,snegovski,209,19,199.5789473684210526,195.3157894736842105
51460,561013,ataruman,247,22,199.5454545454545455,272.5454545454545455
175598,1492211,poharo,238,8,199.5,190.25
77256,1433059,ipuu_(el-ane_koubou),308,148,198.6554054054054054,268.0337837837837838
216146,1605024,marumai,146,5,198.6,196
249723,1697175,mochitsuki_karen,157,51,198.4509803921568627,190.8627450980392157
235669,1714753,zero_a,114,81,198.3209876543209877,201.1111111111111111
215450,1603072,anima_(togashi),145,14,198.1428571428571429,194
49812,1762579,puuzaki_puuna,480,182,197.5824175824175824,286.9615384615384615
76990,1601727,kat_(bu-kunn),295,27,197.2222222222222222,227.2592592592592593
217636,1609045,dismassd,180,11,196.7272727272727273,189.9090909090909091
129353,1767514,hiyashi_mirano,102,20,196,197.5
61773,1451923,sawada_yuusuke,230,66,195.8636363636363636,220.0454545454545455
156300,1434363,lun7732,107,14,195.7857142857142857,270.7857142857142857
98930,1257156,uo_denim,255,19,195.5263157894736842,232.4736842105263158
254406,1688623,fluffydango,275,149,195.2550335570469799,188.5100671140939597
181501,1508191,vierzeck,170,42,194.619047619047619,224.0714285714285714
36778,1599658,hu_dako,411,95,194.5789473684210526,236.9157894736842105
153301,1365443,afrobull,1144,381,194.5459317585301837,247.0183727034120735
165145,1463932,roropull,487,248,194.2580645161290323,242.4435483870967742
175826,1654920,mirai_hikari,458,45,193.5333333333333333,240.6666666666666667
219323,1507661,greatm8,456,270,193.4740740740740741,191.0851851851851852
150772,1415071,tomas_(kaosu22),167,9,193.4444444444444444,185.3333333333333333
159992,1448706,kataokasan,192,86,193.4186046511627907,192.0348837209302326
164137,1461089,grimmelsdathird,137,1,193,187
200366,1560649,classic_(zildjian33),173,20,192.55,184.5
22424,458002,kyokucho,283,80,192.4625,269.4625
216014,1682642,dasdokter,237,6,192.1666666666666667,185.1666666666666667
184870,1517165,unfairr,701,538,192.0780669144981413,209.5446096654275093
144804,1396896,irohakaede,149,2,192,281.5
161579,1467505,ia_(ias1010),274,43,191.4651162790697674,224.5581395348837209
121733,1441922,greem_bang,752,380,191.3236842105263158,223.9447368421052632
96999,1579685,yuyu_(yuyuworks),208,61,191.2459016393442623,199.0327868852459016
265623,2013520,kurenaiz_(kuayrenaiz),194,6,191.1666666666666667,185.8333333333333333
166291,1467563,sunhyun,625,145,191.0206896551724138,205.2344827586206897
181189,1507212,eonsang,431,113,191.0088495575221239,214.5221238938053097
216226,1605244,kuroi_suna,310,114,190.7631578947368421,193.2807017543859649
188228,1527669,norza,341,191,190.0994764397905759,201.2774869109947644
4589,1993518,lunch_(shin_new),129,21,189.5714285714285714,223.380952380952381
237348,1779766,daraz,152,6,189,185
158615,1443317,hokori_sakuni,210,30,188.6,194.9333333333333333
207017,1790043,bob_(bobtheneet),172,40,188.55,185.675
177535,1497505,ramanda,344,120,187.7583333333333333,206.5166666666666667
145116,1397830,wangxiii,291,70,187.3428571428571429,221.8428571428571429
208103,1579771,thirty_8ght,202,81,185.9876543209876543,192.4074074074074074
118558,1312419,umonebi,193,67,184.9850746268656716,219.0298507462686567
204646,1647282,rakeemspoon,344,20,184.45,183.95
173119,1456451,cla_(finesoda),229,127,184.4094488188976378,198.3228346456692913
227996,1639679,maskwolf,159,47,184.3191489361702128,227.8297872340425532
216554,1605986,kaminari_doon,225,17,184.1764705882352941,186.1176470588235294
230123,1646989,ningen_mame,268,1,184,178
263623,1729819,softhanten,107,5,183.8,178
154271,1427989,ru_zhai,713,64,183.296875,182.609375
177002,1685312,noah_(tettsui-sole),427,25,183.2,202.12
60130,719137,satsuki_neko,355,80,182.9,253.8375
175404,1604954,momihige,145,30,182.9,208.7333333333333333
215232,1602384,z282g,238,193,182.1917098445595855,200.3471502590673575
157370,1571303,sy4,199,59,182.1864406779661017,292.7457627118644068
112965,1292374,lvl_(sentrythe2310),618,213,181.9577464788732394,229.1126760563380282
130633,1588397,turisasu,263,27,181.4444444444444444,257.1851851851851852
215746,1603810,sawkm,219,29,181.3448275862068966,181.7241379310344828
211241,1590782,kisou_(kisou00),115,15,181.1333333333333333,210.9333333333333333
204136,1783351,hominamia,308,41,180.6585365853658537,187.8292682926829268
177400,1497037,dh-zone,117,28,180.4642857142857143,190.2142857142857143
34969,564886,senji_(tegone_spike),217,12,180,260.6666666666666667
174928,1583320,rikui_(rella2930),141,1,180,175
210063,1587592,whoopsatro,226,1,180,176
13077,404073,nababa,257,22,179.7272727272727273,279.8636363636363636
224915,1632550,camonome,670,508,179.6633858267716535,198.1594488188976378
190172,1706304,stone_(ksorede),141,7,179.5714285714285714,170.1428571428571429
196695,1587634,ruberule,108,59,179.5593220338983051,217.0847457627118644
158150,1441329,sherryqq,127,4,179.5,224
173839,1711977,cirilla_lin,362,40,179.225,198.55
179210,1501958,jtleeklm,138,1,179,175
191531,1536705,echo_saber,372,2,179,172
241538,1867662,micchan_(micchanmeido),105,8,178.875,170.5
259998,1720396,pinkcap,170,72,178.6527777777777778,173.5
100461,1249457,soramame_(corndog),120,1,178,172
123485,1313367,joman,297,1,178,175
86083,625428,faustsketcher,164,100,177.83,290.56
79892,1429743,narushima_kanna,244,3,177.6666666666666667,213
161056,1452654,sydus,433,99,177.6666666666666667,196.3737373737373737
6508,1380781,b-ginga,970,320,177.140625,221.859375
148280,1572735,efuri_(riarea00),227,5,177,213.2
188791,1529279,awesomeerix,143,50,176.58,180.62
154307,1563491,meion,279,38,176.4736842105263158,268.0263157894736842
248556,1694058,iumu,106,81,176.0246913580246914,170.0123456790123457
99244,1297659,tabletorgy,127,2,176,213
138710,1818144,nakamura_rohane,221,35,175.8,206.3714285714285714
195652,1585278,shengtian,733,270,174.9925925925925926,188.662962962962963
188520,1644029,sakura_no_tomoru_hi_e,276,18,174.7222222222222222,207.2777777777777778
226321,1635695,ano_(gccx8784),105,35,174.6857142857142857,191.9428571428571429
193565,1542591,potetos7,116,3,174.6666666666666667,241.6666666666666667
33869,504669,haku89,243,116,174.5258620689655172,181.3793103448275862
159275,1556143,eternity_(shadeh),228,3,174.3333333333333333,177.6666666666666667
132563,1618302,hella_p,463,50,174.22,181.06
240091,1672747,berserker_r,140,19,174.1052631578947368,170.6315789473684211
187405,1524830,haneramu,233,12,173.5833333333333333,180.0833333333333333
126955,1622629,dema_hmw,317,23,173.3043478260869565,167.6956521739130435
127730,718512,ndgd,575,196,173.0459183673469388,237.3775510204081633
198949,1556362,renxzd,128,1,173,165
188590,1528510,kukumomo,294,64,172.765625,196.6875
223942,1628213,dolri,205,5,172.6,187.6
183595,1567232,loooyd,257,11,172.4545454545454545,203.3636363636363636
205807,1538421,chikaretsu,307,109,172.3486238532110092,191.9908256880733945
222473,1623120,shaggy_susu,153,95,172.1052631578947368,184.6105263157894737
