artist_id,tag_id,tag_name,total_post_count,target_post_count,avg_score,avg_fav_count
114963,1582598,upanishi_mariko,241,12,142.75,157.75
23486,461476,gonster,130,7,142.5714285714285714,143.7142857142857143
57145,1934837,fumutarou,211,16,142.375,136.875
196870,1647772,iuui,224,35,142.2285714285714286,171.1428571428571429
74908,694729,ricegnat,514,13,141.6153846153846154,218.8461538461538462
223942,1628213,dolri,205,42,141.4523809523809524,146.1904761904761905
123572,1441298,jp06,311,39,141.1282051282051282,203.8974358974358974
136119,1578243,blood_hood,127,6,140.8333333333333333,137
133085,1619340,free_style_(yohan1754),589,34,140.8235294117647059,190.3529411764705882
62106,609949,mhk_(mechamania),241,9,140.7777777777777778,203.5555555555555556
211955,1592670,nia_(nia4294),427,27,140.4444444444444444,144
192785,1540340,hioyami,252,20,140.15,146.3
147679,1405425,komainu_(yamaha1997),110,7,140.1428571428571429,154.7142857142857143
6508,1380781,b-ginga,970,56,140.0535714285714286,183.375
143021,1391631,deilan12,153,7,140,195.4285714285714286
224240,1205099,egami,302,11,139.9090909090909091,221.9090909090909091
174607,1488907,kokuto_(kurousagi1210),140,12,139.5833333333333333,143.6666666666666667
145116,1397830,wangxiii,291,42,139.4285714285714286,155.1428571428571429
269156,1755123,gdhs,110,26,139.4230769230769231,135.9615384615384615
105775,1267929,personal_ami,1143,13,139.3846153846153846,146.9230769230769231
159466,1462869,hot_melon,165,14,139.3571428571428571,246.2142857142857143
130120,1365467,013_(hamsasuke),204,14,139.2857142857142857,206.2142857142857143
183956,1514664,omone_hokoma_agm,581,92,138.5543478260869565,173.5652173913043478
14555,598986,osa_(osaosa),109,5,138.4,192
210071,1597738,nohhun,160,19,138.3157894736842105,149.3684210526315789
156384,1434557,doruka,113,6,137.6666666666666667,132
67964,632183,love_cacao,356,10,137.6,168.6
149118,1503761,tamada_heijun,182,18,137.3333333333333333,199.7777777777777778
101263,1252910,hoshara,164,7,137.2857142857142857,153.7142857142857143
154307,1563491,meion,279,57,137.2456140350877193,217.0175438596491228
52970,572614,kemigawa_mondo,107,5,137,156
92861,1226320,papino,199,3,137,132.3333333333333333
210689,1589256,emor18_shikeko,103,5,136.8,130.6
160603,1648627,kuse_(0201),190,27,136.5555555555555556,172.3703703703703704
197367,1551980,kasseus_maximus,101,4,136.5,166.75
164136,1461084,roresu,173,10,136.2,158.8
121733,1441922,greem_bang,752,41,136.024390243902439,187.6341463414634146
28877,483885,sadakage,113,1,136,190
272083,1776910,satelyte,104,1,136,130
293040,1802832,coubalty,181,1,136,133
173839,1711977,cirilla_lin,362,39,135.9743589743589744,145.2307692307692308
189984,1532377,mitsu_(mitsu_art),352,29,135.8620689655172414,155.8620689655172414
234755,1659268,gueya,128,7,135.7142857142857143,142
249723,1697175,mochitsuki_karen,157,17,135.5882352941176471,129.6470588235294118
95622,1227391,kenshin187,586,12,135.5833333333333333,226.1666666666666667
138710,1818144,nakamura_rohane,221,80,135.1125,172.4
96999,1579685,yuyu_(yuyuworks),208,11,135.0909090909090909,158.6363636363636364
206018,1871461,runa_(nori31291404),193,1,135,216
175468,1491759,laoan,131,34,134.7352941176470588,167.2941176470588235
101826,1542029,ricochet-gou,268,21,134.5714285714285714,156.8571428571428571
284536,1783325,moral_cacoethes,289,12,134.4166666666666667,130.8333333333333333
241538,1867662,micchan_(micchanmeido),105,6,134.3333333333333333,134.6666666666666667
194419,1544674,tiri_man,102,6,134,150.8333333333333333
166498,1581785,b-pang,185,36,133.7222222222222222,144.2777777777777778
198315,1554610,dismaiden,134,14,133.6428571428571429,128.7142857142857143
161036,1452583,kabayaki_namazu,150,5,133.4,175.2
163097,1458649,chen_zi,104,2,133,134.5
147693,1405439,exlic,523,32,132.9375,159.28125
226845,1636854,barbarian_tk,212,9,132.4444444444444444,177.2222222222222222
193305,1541799,zijou,162,6,131.6666666666666667,131
119503,1315493,myuu_(arisumeria),296,14,131.6428571428571429,133.6428571428571429
237720,1686817,superbusty,151,6,131.5,127.1666666666666667
159717,2011192,gino_(gino_h),180,10,131.3,126.7
143963,1754143,alios_arvin,151,45,131.1333333333333333,138.2444444444444444
66517,1564330,denhijou_niki,160,24,130.875,134.0833333333333333
160063,1536057,kilesha,401,19,130.6315789473684211,165.8421052631578947
237349,1663920,ayanakitori,221,5,130.6,136.8
19100,1750208,sashizume_soutarou,143,17,129.8235294117647059,146.3529411764705882
97435,1240167,karadborg,135,7,129.7142857142857143,126.1428571428571429
240091,1672747,berserker_r,140,19,129.6842105263157895,126.0526315789473684
194198,1656795,nike_(nike1060),105,12,129.5833333333333333,138.9166666666666667
117816,1845638,ame_(uten_cancel),282,17,129.2352941176470588,178.6470588235294118
215450,1603072,anima_(togashi),145,11,129.1818181818181818,137.5454545454545455
112965,1292374,lvl_(sentrythe2310),618,7,129.1428571428571429,178.8571428571428571
17487,437592,sayika,159,12,128.6666666666666667,217.6666666666666667
127838,1467566,alpha_(alpha91),181,22,128.5909090909090909,165.4545454545454545
12502,410214,mimonel,386,28,128.2142857142857143,157.0714285714285714
129647,1429476,suerte,291,38,127.9473684210526316,169.5263157894736842
246593,1689366,sukoyaka93,160,17,127,128.8235294117647059
186660,1614063,hyouuma,297,145,126.7931034482758621,160.2344827586206897
109553,1566000,da_mao_banlangen,150,6,126.5,207.8333333333333333
19186,626940,sage_joh,326,31,126.0967741935483871,158.6129032258064516
131813,1358691,satou_aji,231,20,126.05,130.2
237869,1806469,2gong_(9ujin_),119,11,125.9090909090909091,117.7272727272727273
177598,1542475,nonoyama,259,10,125.8,169.3
156790,1435753,aroma_sensei,460,23,125.6521739130434783,171.3043478260869565
156733,1648626,jasony,215,6,125.5,166.8333333333333333
286166,1787040,yzr_(yzr99),108,13,125.3076923076923077,119.4615384615384615
176006,1493614,mimoza_(96mimo414),157,25,124.96,129.32
129393,1350937,ah-lyong_lee,241,13,124.7692307692307692,216.5384615384615385
215091,1603057,kaita_(mokamilkcup),118,20,124.55,133.05
210811,1662911,nurami_(shouji),132,2,124.5,129.5
148910,1408299,karmiel,110,25,124.48,132.4
76990,1601727,kat_(bu-kunn),295,40,124.3,143.95
114425,1297287,metal_owl_(aden12),180,10,124.3,136.8
187048,1523873,tianliang_duohe_fangdongye,106,7,124.2857142857142857,174
247031,1696279,cozyu,105,5,123.6,130.8
177400,1497037,dh-zone,117,13,123.3846153846153846,131.3846153846153846
267121,1750091,aelion_draws,152,9,123.3333333333333333,121
127730,718512,ndgd,575,66,123.0454545454545455,173.8181818181818182
86083,625428,faustsketcher,164,1,123,242
222235,1622546,pinki_o64,112,11,122.8181818181818182,130.6363636363636364
32277,1616605,club3,698,85,122.6235294117647059,182.2352941176470588
83259,1575784,sora_72-iro,454,31,122.5483870967741935,140.1290322580645161
218509,1607298,putama,269,10,122.4,146.6
135649,1578579,jujunaught,115,3,122.3333333333333333,137
238133,1666377,wd_(1106592840),143,27,122.3333333333333333,126.5555555555555556
139570,1928634,housou-kun,160,11,122.2727272727272727,138
101480,1775936,danimaru,255,24,122.25,135.625
137150,1375112,hood_(james_x),383,31,122.1290322580645161,138.5483870967741935
179858,1886335,leviathan_(hikinito0902),302,88,122.0795454545454545,157.0454545454545455
166557,1468637,rkrk12,176,42,121.9761904761904762,170.4285714285714286
158663,1443678,pumpkinspicelatte,329,40,121.9,129.45
145418,1398954,yanje,200,30,121.6333333333333333,159.1666666666666667
13582,414206,bokuman,209,2,121.5,193.5
188590,1528510,kukumomo,294,19,120.7894736842105263,148.4736842105263158
93693,701922,owler,160,3,120.6666666666666667,189.6666666666666667
195502,1585030,hondaranya,246,3,120.6666666666666667,119
176183,1494026,kinhasu,220,30,120.6,211.1333333333333333
120141,1313197,dishwasher1910,962,54,120.4814814814814815,150.1481481481481481
111858,1288167,wowoguni,137,8,120.375,129.5
205254,1574555,padoruu,136,10,120.2,140
128559,1347962,kirome_(kamipaper),188,2,120,146.5
211930,1592629,xerbatt,144,5,120,116.4
226250,1635569,toriniku29,148,1,120,113
70408,492399,alp,602,47,119.8085106382978723,142.2127659574468085
101494,1253692,pasya-pasya,107,9,119.7777777777777778,119.1111111111111111
216630,1813098,doldol_(rkwowlqrp),133,20,119.75,122.95
158874,1573158,reel_(riru),289,36,119.5555555555555556,157.5833333333333333
169852,1541004,siu_(siu0207),491,33,119.2727272727272727,153.4545454545454545
133943,1567616,icwine,109,38,119.2368421052631579,135.8157894736842105
118558,1312419,umonebi,193,9,118.8888888888888889,175.6666666666666667
120902,1335201,bluefield,403,9,118.8888888888888889,172.1111111111111111
243951,1860036,docozi,217,13,118.7692307692307692,132.7692307692307692
53666,575363,ke-ta,746,28,118.7142857142857143,168.75
45542,1644940,naha78,171,17,118.6470588235294118,151.8823529411764706
305090,1829350,wabimochi,101,4,118.5,117.25
26318,474636,77gl,180,23,118.391304347826087,147.7391304347826087
127471,1343759,4690_(tkpbsk),128,3,118.3333333333333333,111.6666666666666667
227139,1637607,tenroy,113,14,118.2142857142857143,113.8571428571428571
144167,1394959,kie_(wylee2212),201,34,118.1764705882352941,120
188228,1527669,norza,341,12,118.0833333333333333,118.6666666666666667
208226,1582144,devil_heavens,128,27,118,118.2962962962962963
226896,1648873,madana_(xesa7885),193,2,118,134.5
124104,1332861,urec,270,27,117.962962962962963,118.5555555555555556
201813,1564644,pomesaurus,170,15,117.5333333333333333,125.5333333333333333
117021,1589313,himitsu_(hi_mi_tsu_2),417,234,117.405982905982906,192.3803418803418803
153958,1426534,oniilus,195,24,117.2916666666666667,133.5833333333333333
200366,1560649,classic_(zildjian33),173,27,117.1851851851851852,111.8518518518518519
191531,1536705,echo_saber,372,20,117.15,127.9
191388,1749592,rikiddo_(tise_00),203,25,116.88,122.88
